Temp,Turbidity,DO,BOD ,CO2,pH,Alkalinity,Hardness ,Calcium ,Ammonia ,Nitrite ,Phosphorus ,H2S ,Plankton ,Water Quality
83.63,98.83,0.527,9.781,14.377,2.856,240.949,4.978,4.776,0.909,2.177,3.417,0.053,7219,2
62.16,95.23,9.979,7.86,14.338,12.995,248.218,1.798,265.701,0.688,2.732,0.004,0.088,1269,2
80.5,9.71,14.3,11.895,10.307,0.066,279.894,398.797,3.071,0.581,4.841,3.825,0.078,7355,2
3.8,86.07,2.668,13.354,13.876,5.535,205.103,320.587,289.847,0.074,2.228,4.86,0.048,1332,2
74.83,82.16,1.251,13.567,10.504,12.483,251.495,8.27,5.629,0.772,3.722,3.038,0.07,6245,2
3.76,1.34,8.427,8.481,13.856,2.192,261.88,13.697,378.001,0.424,3.403,0.005,0.044,1324,2
78.97,1.65,0.945,6.369,13.905,11.675,262.623,14.078,0.113,0.476,2.175,0.006,0.071,734,2
64,12.32,14.799,10.036,10.166,4.876,253.364,14.081,8.309,0.267,2.327,0.003,0.048,1231,2
4.97,81.75,2.161,14.753,12.017,4.955,289.612,397.663,7.203,0.81,2.236,0.004,0.027,645,2
6.43,84.36,9.609,12.451,10.979,9.963,237.999,8.093,5.464,0.919,3.114,0,0.063,7148,2
10.09,90.29,2.628,10.424,12.983,4.97,236.756,363.191,2.477,0.727,3.925,0.009,0.072,6665,2
63.78,8.54,11.642,10.902,13.281,3.577,211.411,7.81,5.835,0.992,3.939,0.006,0.05,6989,2
0.88,5.24,1.721,8.594,12.503,0.228,294.848,3.041,286.099,0.206,4.111,4.216,0.068,1313,2
9.38,11.7,1.317,7.493,11.277,12.822,292.189,17.361,304.573,0.752,4.99,0.002,0.055,1323,2
2.82,10.01,0.842,11.91,11.153,0.286,245.163,15.581,393.018,0.217,2.22,0.001,0.035,1988,2
72.76,0.18,10.964,10.559,11.245,1.378,224.23,2.173,7.381,0.302,3.404,3.164,0.049,499,2
67.85,94.66,0.974,14.591,12.132,4.514,250.682,15.768,5.099,0.3,2.118,3.472,0.094,6496,2
0.78,10.52,10.409,11.673,11.494,0.288,287.904,336.489,0.399,0.082,3.968,0.006,0.031,7259,2
14.59,85.45,1.231,13.952,10.394,1.674,241.488,342.719,7.128,0.416,4.112,3.934,0.099,7263,2
0.41,12.22,0.753,13.632,10.994,1.018,271.554,4.828,2.261,0.065,2.34,0,0.036,866,2
68.45,86.32,0.728,9.175,10.882,13.342,243.606,13.68,341.986,0.381,3.751,4.268,0.051,1085,2
65.26,13.21,1.22,12.815,10.409,11.698,264.742,343.152,389.175,0.53,4.758,3.104,0.052,6493,2
80.05,0.05,2.772,9.819,13.202,10.441,235.776,1.92,358.991,0.556,4.81,0.007,0.025,6533,2
0.85,93.38,11.107,14.018,11.136,14.077,213.517,395.946,282.873,0.433,3.363,4.828,0.04,7194,2
82.18,12.71,12.109,8.031,14.745,4.608,251.739,8.369,0.94,0.187,4.958,0.007,0.06,6032,2
72.07,90.76,0.636,11.18,10.742,12.427,238.531,366.888,1.494,0.86,4.523,4.974,0.027,610,2
72.27,5.55,13.818,7.242,12.003,14.13,271.132,337.103,259.263,0.872,3.168,3.363,0.086,6408,2
82.77,2.24,2.912,6.904,12.048,5.894,284.027,348.751,4.595,0.099,4.638,0.007,0.057,783,2
6.6,81.67,13.372,9.969,12.973,1.056,251.297,390.466,356.312,0.959,3.809,0.009,0.072,1058,2
69.52,5.57,0.969,12.12,12.116,11.569,214.873,340.248,374.19,0.399,2.133,4.388,0.036,6762,2
78.26,97.17,2.715,9.692,14.517,10.283,204.719,4.287,7.73,0.999,3.219,0.003,0.09,1964,2
84.02,90.4,11.408,8.92,10.045,4.067,287.615,390.511,0.412,0.567,4.455,0.004,0.086,6319,2
5.86,0.54,0.134,14.786,13.379,9.582,262.88,392.653,7.738,0.815,2.989,0.009,0.028,1063,2
63.3,93.3,0.44,12.019,14.693,0.848,264.892,313.147,9.861,0.796,3.396,0,0.033,281,2
1.73,95.56,13.648,8.27,13.179,10.232,266.71,343.854,9.684,0.683,4.876,3.748,0.038,6677,2
2.73,12.31,0.593,12.013,12.87,2.708,206.908,307.517,3.58,0.144,2.433,3.923,0.098,1728,2
71.71,86.44,11.011,7.837,12.548,2.949,243.975,11.251,386.991,0.172,2.024,4.364,0.079,7181,2
69.34,86.47,2.335,9.946,11.917,10.377,235.178,355.862,2.677,0.465,3.892,4.129,0.042,403,2
12.59,90.3,9.792,13.604,14.343,12.346,225.94,311.192,2.323,0.794,4.565,3.181,0.051,1991,2
78.83,10.97,13.733,6.071,13.072,10.253,204.64,8.431,374.809,0.304,3.815,3.11,0.069,79,2
7.06,99.8,10.476,11.344,13.505,14.082,287.959,0.705,7.222,0.364,2.684,3.525,0.067,6388,2
10.8,98.41,8.905,14.444,14.775,14.851,234.004,341.719,6.414,0.924,4.899,0.006,0.039,6413,2
81.92,93.75,14.053,8.583,11.142,10.202,220.591,310.988,6.722,0.507,3.891,0,0.043,7445,2
10.01,90.88,2.87,13.474,13.638,13.15,208.283,3.052,374.582,0.249,2.586,0.004,0.085,6377,2
77.93,11.54,14.248,7.231,10.995,0.428,244.119,19.061,1.802,0.886,4.04,0,0.095,1860,2
76.17,6.71,14.468,13.151,12.207,3.659,240.703,356.528,368.675,0.644,2.456,0.004,0.026,1914,2
82,8.12,12.987,7.452,11.695,1.91,298.943,9.753,325.986,0.442,2.279,0.007,0.041,800,2
14.84,88.66,0.244,6.308,13.345,1.28,214.598,12.007,353.891,0.953,3.18,0.005,0.024,980,2
4.98,8.99,10.407,8.295,14.912,10.661,284.023,305.158,4.647,0.928,2.204,0.004,0.057,1625,2
76.59,96.96,2.991,12.829,13.349,10.378,232.157,349.84,342.666,0.962,4.306,4.204,0.044,6213,2
7.16,13.61,12.192,14.245,10.701,14.515,250.922,315.101,4.212,0.351,2.673,4.693,0.051,7425,2
71.36,88.52,11.046,8.697,12.304,10.792,231.478,371.438,2.247,0.535,4.731,0.009,0.044,410,2
2.85,91.92,12.986,6.186,10.114,3.715,200.79,12.358,8.918,0.105,2.66,4.87,0.022,1575,2
5.97,94.33,0.422,12.172,11.824,9.814,273.036,12.427,0.018,0.64,3.601,3.186,0.028,1990,2
69.82,84.08,1.738,14.78,11.665,2.311,213.033,2.501,7.133,0.296,3.031,4.707,0.066,361,2
5.51,94.41,13.449,8.278,14.636,10.384,212.353,10.412,389.894,0.347,3.493,4.819,0.053,1556,2
68.77,92.67,12.984,9.376,11.591,0.295,292.695,8.125,1.502,0.137,2.832,0.004,0.038,1158,2
3.09,12.43,2.128,12.823,13.173,12.146,251.479,18.347,398.157,0.185,2.453,3.509,0.05,6309,2
74.04,3.11,2.977,9.473,13.65,10.131,215.244,397.986,261.617,0.193,2.869,4.312,0.071,6724,2
6.54,11.35,10.166,9.247,11.051,2.375,288.859,302.439,254.379,0.347,2.208,0.007,0.033,7156,2
11.18,85.14,10.769,13.113,11.921,11.774,239.778,17.715,1.311,0.867,3.688,0.002,0.037,525,2
3.45,10.29,10.458,12.833,10.586,2.698,228.6,338.199,319.459,0.667,3.632,0.001,0.044,1085,2
1.07,97.97,1.826,6.63,10.645,4.18,237.477,307.425,359.202,0.773,2.054,4.619,0.075,627,2
60.92,3.98,14.97,8.627,13.419,10.751,230.73,391.943,4.475,0.17,4.586,3.208,0.085,528,2
73.81,5.06,11.513,13.62,13.556,2.388,278.619,359.757,0.916,0.778,3.235,3.261,0.044,6792,2
4.55,5.58,9.918,6.215,12.023,12.179,273.855,9.581,344.636,0.551,2.685,3.228,0.033,6514,2
3.22,1.34,1.606,12.759,10.032,11.245,245.951,0.256,1.588,0.86,3.315,4.081,0.086,6254,2
1.3,82.43,2.761,11.824,11.736,13.345,280.19,13.112,378.573,0.671,2.439,3.243,0.058,7452,2
0.19,10.43,2.405,11.651,12.87,5.458,251.677,12.709,2.587,0.457,3.751,4.795,0.081,154,2
12.56,92.03,0.713,7.862,12.662,12.916,206.194,301.326,345.125,0.796,4.975,0.006,0.091,6714,2
70.24,4.58,0.237,12.94,11.141,0.541,287.867,315.351,260.687,0.268,2.267,4.399,0.068,6630,2
61.52,98.99,1.073,9.02,14.901,13.38,226.146,18.262,327.43,0.763,3.779,4.121,0.084,6360,2
72.54,93.23,1.956,14.943,11.199,11.836,224.423,302.621,9.592,0.46,4.925,0.01,0.087,6169,2
14.66,3.07,13.162,7.634,12.333,5.352,200.14,375.667,3.956,0.777,4.696,0.004,0.084,968,2
11.66,93.59,10.1,11.065,13.168,10.954,269.719,333.317,353.874,0.2,2.82,0.006,0.074,6144,2
77.29,89.88,9.48,7.119,14.973,2.508,241.458,13.055,9.851,0.368,3.939,3.389,0.064,6749,2
2.62,89.7,14.172,11.18,14.194,10.096,281.947,17.668,302.896,0.737,2.394,4.179,0.058,7239,2
8.58,5.69,9.082,12.189,12.498,0.051,214.909,391.228,365.325,0.414,4.178,4.386,0.045,6711,2
10.05,86.33,13.784,7.211,10.989,14.809,206.372,358.515,284.543,0.125,3.311,3.386,0.059,294,2
14.79,13.08,1.303,10.686,10.198,11.128,256.685,18.662,301.245,0.094,3.62,0.006,0.055,6980,2
9.19,11.95,1.376,11.379,12.881,2.815,235.042,378.022,9.442,0.269,2.373,4.536,0.065,6946,2
63.64,14.02,0.93,7.302,11.167,1.834,274.684,369.191,340.645,0.784,2.932,0.008,0.041,6164,2
64.69,8.46,1.408,14.25,12.16,14.547,290.539,15.541,2.189,0.799,3.558,0.01,0.029,1981,2
84.25,94.73,12.903,11.616,10.396,14.253,208.515,359.802,6.568,0.666,3.576,0,0.097,1672,2
67.45,20.68,7.378,3.053,2.715,9.131,156.459,55.577,21.187,0.043,0.533,0.021,0.014,5441,2
64.63,19.79,7.155,4.534,4.54,9.335,110.242,45.97,15.69,0.026,0.228,2.149,0.015,5508,2
65.12,18.1,5.334,4.144,4.806,9.179,171.918,227.598,237.161,0.04,0.247,0.024,0.018,2313,2
1.64,26.34,6.376,2.338,9.165,6.437,41.326,266.569,22.516,0.034,0.432,2.413,0.012,2559,2
64.86,29.29,5.851,2.918,2.921,9.219,186.86,50.031,109.827,0.036,0.247,2.16,0.017,2004,2
3.01,21.33,6.499,4.938,9.862,9.215,196.54,32.267,15.767,0.05,0.023,2.571,0.006,2068,2
70.6,28.17,7.515,5.884,0.684,6.308,39.662,57.777,208.939,0.026,0.824,0.016,0.018,2936,2
80.86,16.87,5.154,2.497,9.776,6.389,47.8,58.936,229.089,0.025,0.452,2.47,0,5903,2
81.2,26.11,7.259,2.534,1.553,9.296,199.254,30.767,211.879,0.03,0.464,2.334,0.006,2063,2
1.1,19.22,6.466,4.629,10,6.175,168.735,245.265,184.129,0.031,1.201,2.689,0.013,5161,2
13.83,20.58,6.784,4.857,0.235,9.126,40.35,55.266,14.566,0.048,1.708,2.446,0.017,2880,2
12.26,29.77,6.085,3.397,9.215,9.478,40.709,21.569,121.936,0.044,1.611,2.199,0.013,5509,2
3.72,25.86,6.954,2.989,9.39,9.49,25.479,265.533,19.174,0.04,0.054,2.253,0.002,2651,2
75.79,29.79,6.299,4.524,2.26,6.076,45.505,211.681,20.161,0.048,2,0.013,0.008,2213,2
60.66,24.21,5.003,5.67,2.04,9.008,48.911,66.773,17.481,0.042,1.916,2.9,0.003,2756,2
10.87,18.44,6.977,2.872,9.305,6.203,117.311,71.326,225.491,0.049,0.828,0.022,0.004,2579,2
83.63,18.48,7.247,4.538,0.049,9.178,190.204,256.086,15.974,0.032,0.295,0.018,0.015,2049,2
62.16,20.4,6.636,2.183,4.668,9.066,192.698,284.961,148.026,0.045,1.226,0.025,0.014,5045,2
80.5,16.32,5.184,5.262,1.932,9.232,121.926,64.724,174.287,0.033,0.68,0.015,0.004,2656,2
3.8,17.55,6.097,3.732,0.843,9.123,175.919,49.837,14.03,0.034,0.474,0.026,0.017,2159,2
74.83,26.61,5.943,2.157,8.242,9.071,30.52,68.606,14.108,0.049,1.544,2.105,0.017,5192,2
3.76,21.81,5.371,4.129,4.955,9.276,49.564,242.954,151.255,0.047,1.98,2.283,0.013,2889,2
78.97,21.54,7.773,3.12,2.344,6.245,25.359,39.76,135.617,0.027,1.005,2.876,0.016,5825,2
64,15.25,5.546,4.147,2.007,6.265,179.44,43.258,233.619,0.031,1.45,0.019,0.016,5168,2
4.97,20.96,5.906,2.738,8.219,9.436,32.228,197.488,20.478,0.034,0.713,2.502,0.006,5575,2
6.43,25.43,6.155,5.874,9.167,6.121,44.292,293.334,22.1,0.047,1.557,2.957,0.01,2978,2
10.09,26.76,5.984,3.363,8.102,9.279,176.134,24.197,249.162,0.029,0.327,2.496,0.014,5112,2
63.78,25.3,7.83,5.068,9.622,6.148,38.179,273.714,208.423,0.026,0.105,2.719,0.009,5406,2
0.88,28.43,5.635,5.962,0.764,6.27,103.737,202.786,23.63,0.047,0.065,0.025,0.003,5869,2
9.38,21.09,7.544,4.185,1.283,9.223,171.144,168.482,21.33,0.038,0.176,0.023,0.009,5518,2
2.82,22.3,7.008,2.82,8.396,9.202,44.354,278.897,197.317,0.042,0.502,2.551,0.011,2369,2
72.76,28.7,5.666,3.007,2.189,9.061,106.244,279.121,242.505,0.03,1.475,0.013,0.004,2169,2
67.85,23.57,7.42,5.691,4.159,9.309,49.663,41.749,21.25,0.047,1.944,0.022,0.013,5920,2
0.78,25.78,7.767,5.84,2.56,9.174,176.37,154.264,122.341,0.029,0.318,2.981,0.002,4587,2
14.59,24.64,7.371,2.893,0.27,9.055,43.459,50.73,244.581,0.041,1.867,2.224,0.01,5683,2
0.41,23.86,6.768,5.535,1.316,6.307,44.131,164.579,210.611,0.043,0.662,0.014,0,4863,2
68.45,26.14,5.717,2.1,9.156,9.111,37.837,71.931,12.525,0.046,0.868,2.069,0.013,2558,2
65.26,26.72,5.603,4.936,8.204,9.388,121.223,28.179,223.64,0.026,0.088,2.686,0.002,4894,2
80.05,18.25,5.389,4.026,4.707,6.431,169.896,283.443,20.234,0.04,0.073,2.526,0.001,5122,2
0.85,29.42,5.511,5.16,9.825,9.487,137.063,58.67,20.429,0.036,1.2,2.27,0.011,2045,2
82.18,18.37,5.665,2.579,4.867,6.167,28.539,190.192,19.65,0.036,0.503,0.014,0.001,5774,2
72.07,23.64,5.367,3.692,3.742,6.426,148.969,65.758,123.984,0.041,1.103,2.779,0.011,2913,2
72.27,23.27,5.624,4.49,8.743,9.424,139.722,290.166,244.846,0.028,0.044,2.875,0.006,2458,2
82.77,24.77,6.589,2.404,8.39,6.313,154.12,58.09,196.811,0.028,1.645,2.641,0.011,4796,2
6.6,26.03,7.318,2.86,4.241,9.488,176.376,34.511,18.071,0.042,0.79,2.741,0,2759,2
69.52,20.37,7.845,5.958,9.086,6.123,44.354,69.52,238.14,0.041,1.869,0.02,0.004,2131,2
78.26,22.01,5.26,5.844,9.326,6.22,39.088,39.942,19.405,0.039,0.123,2.09,0.005,2584,2
84.02,29.82,6.246,4.618,3.686,6.049,126.132,233.216,13.707,0.039,0.32,0.011,0.001,5232,2
5.86,21.39,6.892,5.15,9.699,6.365,128.534,65.276,168.468,0.043,1.351,0.012,0.008,5999,2
63.3,25.6,7.678,4.282,4.296,6.337,117.737,168.391,246.953,0.049,0.154,0.021,0.013,2570,2
1.73,42.19,3.505,1.734,7.924,8.458,87.234,147.961,26.491,0.012,0.006,0.359,0.019,3115,2
2.73,38.39,4.199,1.754,5.244,8.287,48.581,123.475,57.783,0.01,0.001,1.339,0.019,3456,2
71.71,62.22,3.483,1.063,6.284,8.166,65.558,147.182,28.945,0.008,0.016,0.69,0.02,4001,2
69.34,30.63,3.678,1.778,5.245,7.418,29.881,132.912,89.237,0.019,0.004,1.041,0.02,3946,2
12.59,30.54,4.329,1.017,7.558,6.948,45.082,142.869,86.69,0.003,0.009,0.938,0.02,3120,2
78.83,50.68,3.114,1.349,7.652,7.607,51.683,76.854,61.011,0.013,0.008,1.332,0.02,3551,2
7.06,46.17,4.978,1.668,5.679,8.534,29.029,144.875,73.931,0.021,0.011,0.28,0.02,4382,2
10.8,47.23,4.808,1.583,6.437,6.877,58.268,93.031,44.178,0.009,0.008,1.101,0.019,4224,2
81.92,42.21,4.588,1.794,6.916,6.552,67.15,87.095,75.701,0.009,0.009,0.291,0.019,3388,2
10.01,50.49,3.17,1.08,6.219,8.522,97.765,147.099,44.963,0.024,0.003,0.854,0.02,3592,2
77.93,32.41,4.856,1.076,5.273,7.382,31.77,109.783,89.458,0.008,0.004,1.27,0.019,4018,2
76.17,77.41,4.112,1.499,7.104,7.053,26.293,81.107,57.759,0.006,0.001,1.036,0.019,3008,2
82,31.85,3.584,1.175,7.351,8.528,42.338,139.669,92.433,0.023,0.011,1.872,0.02,3663,2
14.84,56.7,3.025,1.088,7.055,6.761,29.811,76.975,93.737,0.017,0.014,1.237,0.019,3142,2
4.98,56.19,3.837,1.212,7.099,7.133,62.808,141.75,92.113,0.01,0,1.991,0.019,3783,2
76.59,34.33,4.999,1.552,5.992,8.513,42.534,135.447,63.868,0.01,0.008,1.922,0.02,3590,2
7.16,41.59,4.347,1.089,7.02,7.262,98.875,103.986,71.909,0.012,0.004,1.268,0.019,4481,2
71.36,49.17,4.1,1.076,7.463,8.255,70.423,124.26,33.186,0.008,0.019,0.512,0.02,3986,2
2.85,51.24,4.544,1.94,7.653,8.197,60.899,100.647,26.069,0.024,0.007,0.881,0.02,3866,2
5.97,68.68,3.639,1.508,7.348,7.203,84.972,91.318,62.005,0.022,0.018,0.854,0.02,4144,2
69.82,72.65,4.379,1.983,6.399,6.987,52.67,138.635,55.386,0.013,0.002,1.818,0.019,4198,2
5.51,77.29,3.73,1.719,7.364,7.174,73.872,81.46,99.774,0.003,0,0.28,0.02,4363,2
68.77,35.91,3.147,1.713,5.822,6.898,30.442,142.705,99.996,0.014,0.001,1.97,0.019,3464,2
3.09,39.39,4.836,1.294,5.202,7.152,34.376,124.999,47.262,0.01,0.003,0.472,0.02,3250,2
74.04,35.46,3.206,1.945,7.953,6.789,38.32,88.233,63.151,0.015,0.013,1.455,0.019,4283,2
6.54,52.72,4.497,1.406,6.397,7.87,47.485,120.861,88.366,0.001,0.016,1.719,0.02,3417,2
11.18,40.11,4.569,1.099,5.448,8.15,86.692,149.558,68.277,0.017,0.007,0.603,0.019,3293,2
3.45,44.17,3.706,1.04,6.118,7.603,76.581,100.009,63.548,0.019,0.009,1.921,0.019,3623,2
1.07,47.01,3.042,1.395,6.211,7.723,96.025,108.61,26.974,0.02,0.008,0.798,0.02,3150,2
60.92,60.52,3.033,1.598,6.676,8.881,79.852,112.748,25.979,0.022,0.018,1.235,0.019,3015,2
73.81,62.83,3.678,1.011,7.384,6.994,28.038,79.122,75.533,0.017,0.019,1.565,0.019,3064,2
4.55,78.98,4.441,1.3,5.799,8.593,95.879,116.411,89.057,0.023,0.004,0.641,0.02,3861,2
3.22,51.19,4.803,1.347,6.089,7.247,95.804,108.544,89.286,0.022,0.016,1.945,0.02,3391,2
1.3,71.77,3.947,1.688,5.362,8.108,31.768,88.875,81.77,0.016,0.009,1.632,0.019,3775,2
0.19,39.47,3.111,1.337,6.551,7.702,35.273,83.656,42.346,0.01,0.01,1.903,0.02,3914,2
12.56,49.56,3.816,1.127,7.386,6.653,52.429,85.163,64.28,0.013,0.019,0.862,0.02,3266,2
70.24,58.11,3.672,1.533,7.71,7.708,35.045,146.202,63.716,0.001,0.003,0.759,0.02,3103,2
61.52,77.84,3.608,1.904,5.422,8.095,62.663,116.093,71.837,0.003,0.014,1.317,0.02,4425,2
72.54,32.21,3.593,1.283,5.68,7.463,78.711,81.752,62.856,0.014,0.007,1.767,0.019,4019,2
14.66,33.23,4.943,1.528,5.92,7.155,71.849,136.989,48.584,0.025,0.002,1.636,0.019,4095,2
11.66,75.42,4.151,1.795,6.511,8.02,33.12,110.703,27.319,0.009,0.006,1.209,0.02,3853,2
77.29,64.7,3.475,1.305,5.662,7.542,52.481,143.167,28.469,0.023,0.015,1.017,0.019,3742,2
2.62,72.71,4.823,1.015,6.121,7.411,32.39,89.624,62.288,0.012,0.016,0.852,0.02,3580,2
8.58,68.62,3.076,1.745,6.146,6.625,86.049,107.635,29.029,0.011,0.014,0.995,0.02,3111,2
10.05,77.9,4.114,1.285,7.208,7.762,99.933,126.626,90.154,0.024,0.002,1.846,0.02,3549,2
14.79,49.13,4.349,1.928,7.431,8.051,72.897,141.21,50.079,0.016,0.008,1.076,0.02,4147,2
9.19,51.05,4.865,1.006,7.254,8.867,47.88,109.928,56.755,0.021,0.018,1.58,0.02,3277,2
63.64,43.04,4.977,1.472,5.608,8.366,89.058,81.13,25.216,0.008,0.008,0.214,0.019,3779,2
64.69,54.87,3.345,1.138,5.156,8.713,95.251,126.05,55.733,0.014,0.002,0.228,0.019,4223,2
84.25,30.48,3.006,1.286,7.914,7.626,29.957,81.833,77.044,0.016,0.005,0.564,0.019,3718,2
32,10.13,6.66,5.408,8.884,9.36,49.371,255.299,24.082,0.03,1.803,2.427,0.017,4805,2
30.53,94.02,6.916,4.061,1.215,6.429,38.875,58.551,204.949,0.037,0.433,0.01,0.007,2050,2
33.56,90.65,5.779,5.252,2.408,9.198,181.552,52.616,13.022,0.038,0.135,0.012,0.006,5881,2
33.44,0.07,5.972,2.884,0.4,6.05,26.802,73.752,167.113,0.029,0.903,2.649,0.004,2489,2
31.04,2.12,6.117,2.597,8.084,6.361,31.075,73.99,103.29,0.026,1.865,0.025,0.007,5334,2
33.84,10.47,6.685,4.307,0.06,6.144,102.077,29.39,232.443,0.031,0.215,2.219,0.002,4799,2
18.1,4.41,5.114,2.256,8.72,6.041,110.125,23.19,24.493,0.036,1.15,2.992,0.016,4862,2
16.29,96.61,7.628,3.217,0.023,9.33,181.27,196.869,100.43,0.039,1.688,0.016,0.005,2975,2
30.16,11.52,7.031,3.754,8.369,6.231,181.94,178.864,21.803,0.031,1.945,2.766,0.014,5950,2
32.94,10.59,7.626,4.557,1.374,9.267,198.032,74.298,139.235,0.039,0.407,2.206,0.005,2208,2
31.01,92.04,5.591,3.02,4.236,9.481,34.608,156.292,24.373,0.027,0.27,2.583,0.011,4637,2
17.81,9.29,6.333,4.027,4.297,9.158,31.573,53.389,15.717,0.026,1.461,0.026,0.005,4516,2
19.32,81.15,6.131,5.341,2.898,6.08,180.75,240.963,148.432,0.028,0.616,2.637,0.009,5539,2
16.38,97.4,5.1,4.555,8.995,9.267,38.3,60.828,115.597,0.028,0.905,2.57,0.002,2541,2
34.57,87.8,5.296,2.208,8.921,9.323,111.525,60.256,146.415,0.026,0.163,0.03,0,2418,2
16.86,4.13,5.143,5.5,3.373,6.376,32.276,184.234,22.429,0.035,1.006,2.674,0.008,5845,2
30.55,98.83,7.657,4.219,9.992,9.314,140.276,285.506,10.828,0.032,0.581,2.121,0.003,2831,2
33.77,95.23,5.948,5.292,8.988,9.064,114.828,40.171,13.956,0.031,1.788,0.01,0.011,5295,2
17.12,9.71,5.924,3.699,1.121,9.476,119.237,203.739,205.57,0.046,0.879,0.029,0.006,2447,2
31.47,86.07,5.338,2.8,4.681,6.298,45.49,60.235,116.995,0.029,0.19,0.023,0.015,5586,2
33.52,82.16,5.324,2.642,8.383,9.341,41.376,31.65,174.121,0.035,0.414,0.01,0,2063,2
31.81,1.34,6.814,2.754,9.858,6.456,28.653,266.336,193.204,0.045,1.148,0.018,0.001,4969,2
17.42,1.65,5.59,5.971,8.944,9.063,38.134,53.547,20.732,0.04,0.645,0.027,0.017,2838,2
15.79,12.32,5.725,2.977,2.605,9.417,127.779,69.065,238.454,0.042,0.814,0.026,0.005,2053,2
19.3,81.75,6.521,2.156,1.375,9.335,45.157,209.66,14.43,0.04,1.188,0.011,0.007,4916,2
30.3,84.36,5.248,2.577,3.189,6.386,133.65,46.896,22.485,0.039,0.85,0.029,0,5714,2
33.38,90.29,7.482,5.702,9.58,9.222,147.954,235.358,206.272,0.046,1.514,2.706,0.01,4815,2
16.99,8.54,6.7,3.203,3.462,6.233,175.369,202.757,173.292,0.035,1.75,0.012,0.006,5594,2
19.68,5.24,6.27,3.742,1.794,9.258,30.956,35.713,210.372,0.042,0.507,2.285,0.005,2332,2
18.01,11.7,7.427,4.044,9.961,9.473,31.369,69.26,12.878,0.032,0.129,2.419,0.003,2310,2
31.31,10.01,5.629,4.669,1.316,9.483,119.552,232.346,133.711,0.049,0.895,0.014,0.014,4543,2
31.26,0.18,5.172,2.712,9.322,6.24,172.296,46.217,188.21,0.043,0.108,2.655,0.012,5870,2
34.31,94.66,6.652,2.756,8.313,9.264,49.834,42.766,219.754,0.042,1.699,0.015,0.014,4558,2
18.99,10.52,6.501,5.623,8.75,9.179,167.424,162.024,17.695,0.028,0.44,2.383,0.017,2063,2
34.58,85.45,6.422,2.349,0.014,6.013,44.354,71.544,15.259,0.028,1.394,2.512,0.008,5888,2
17.93,12.22,6.389,4.589,3.272,9.187,48.66,236.766,20.911,0.032,1.569,0.021,0.017,2938,2
33.44,86.32,7.459,5.171,3.236,6.019,131.102,54.566,198.084,0.046,1.396,2.17,0.01,2611,2
31.54,13.21,5.518,5.263,1.941,6.441,48.841,27.459,14.113,0.036,1.478,2.501,0.004,4680,2
32.08,0.05,7.601,3.594,9.117,6.066,38.946,21.89,14.025,0.037,0.323,2.403,0.003,2542,2
16.25,93.38,6.618,5.231,4.119,6.323,25.885,233.216,12.482,0.03,0.469,0.02,0.006,2889,2
17.39,12.71,5.274,3.137,4.571,6.226,30.485,218.113,16.429,0.031,0.591,2.559,0.003,2318,2
18.98,90.76,6.905,4.564,9.611,6.154,112.298,224.102,22.707,0.027,0.64,0.021,0.001,5701,2
16.21,5.55,6.657,5.758,3.599,6.401,199.9,46.519,156.097,0.047,0.408,2.81,0.016,5493,2
